"angle","A","B","C"
0.0924125476017443,3.17974683544304,2.54244939507897,2.86788667820309
5.91440304651172,3.18784810126582,2.49452887261423,2.92342081568514
11.64398099782,3.16354430379747,2.43314743344881,2.95354948011697
17.4659714967299,3.07443037974684,2.33340253078939,2.92842796637864
23.0107243528347,2.93670886075949,2.21000200378035,2.8558032259711
28.8327148517447,2.78278481012658,2.08485492327349,2.76895235150621
34.4698802554511,2.48303797468354,1.86048487526179,2.53452142560492
40.2918707543611,2.11848101265823,1.59477145378627,2.22674286816212
45.9290361580676,1.69721518987342,1.28905450170577,1.84460671472886
51.7510266569776,1.28405063291139,0.988568502219471,1.45352514608991
57.4806046082858,0.838481012658228,0.656942893346857,1.00659389927423
63.2101825595941,0.546835443037975,0.437728400005269,0.706829628683202
69.032173058504,0.271392405063291,0.222864849313084,0.409395937071089
74.484513367007,0.0769620253164561,0.0649367088607598,0.190021759493671
80.4913289611205,0.012151898734178,0.0105981819439146,0.11462822561546
86.128494364827,-0.00405063291139243,-0.00365432316021024,0.0949888677142744
